Link,RoomNum,Price,City,HouseYear,Area
https://krisha.kz/a/show/29514252,1,100000,Шымкент,1987.0,25.0
https://krisha.kz/a/show/666434345,2,10000,Алматы,2006.0,59.0
https://krisha.kz/a/show/665901343,1,5000,Уральск,1990.0,40.0
https://krisha.kz/a/show/663404142,1,13000,Нур-Султан (Астана),2009.0,49.0
https://krisha.kz/a/show/664473349,1,7500,Актау,2018.0,41.0
https://krisha.kz/a/show/663467665,1,9000,Нур-Султан (Астана),2009.0,48.0
https://krisha.kz/a/show/664264429,1,5000,Темиртау,1966.0,32.0
https://krisha.kz/a/show/663446011,1,11000,Нур-Султан (Астана),2009.0,48.0
https://krisha.kz/a/show/663404247,1,13000,Нур-Султан (Астана),2017.0,48.0
https://krisha.kz/a/show/50419689,1,6000,Нур-Султан (Астана),2008.0,42.0
https://krisha.kz/a/show/663444884,3,20000,Нур-Султан (Астана),2009.0,130.0
https://krisha.kz/a/show/666825358,1,9000,Актау,2019.0,44.0
https://krisha.kz/a/show/663469537,2,17000,Нур-Султан (Астана),2009.0,68.0
https://krisha.kz/a/show/661228453,2,7000,Актау,1985.0,60.0
https://krisha.kz/a/show/663286823,3,22000,Нур-Султан (Астана),2010.0,130.0
https://krisha.kz/a/show/53251837,2,8000,Актау,1983.0,61.0
https://krisha.kz/a/show/663445047,3,18000,Нур-Султан (Астана),2009.0,120.0
https://krisha.kz/a/show/667000394,2,130000,Нур-Султан (Астана),2010.0,50.0
https://krisha.kz/a/show/665478598,2,180000,Алматы,1987.0,56.0
https://krisha.kz/a/show/662854830,4,80000,Актобе,1993.0,80.0
https://krisha.kz/a/show/50451297,1,5000,Уральск,1985.0,33.0
https://krisha.kz/a/show/48117437,1,5000,Уральск,1985.0,40.0
https://krisha.kz/a/show/55344367,1,6000,Уральск,1980.0,35.0
https://krisha.kz/a/show/666220962,1,5000,Качар,2021.0,32.0
https://krisha.kz/a/show/22624386,1,5000,Актобе,1983.0,33.5
https://krisha.kz/a/show/660636276,1,7000,Семей,1995.0,40.0
https://krisha.kz/a/show/50795994,2,16000,Алматы,2006.0,85.0
https://krisha.kz/a/show/662167892,2,130000,Нур-Султан (Астана),2012.0,55.0
https://krisha.kz/a/show/666820230,2,60000,Усть-Каменогорск,1978.0,48.0
https://krisha.kz/a/show/666825831,1,50000,Усть-Каменогорск,1978.0,38.0
https://krisha.kz/a/show/664313132,1,150000,Усть-Каменогорск,1983.0,40.0
https://krisha.kz/a/show/51869885,3,8000,Семей,2001.0,84.0
https://krisha.kz/a/show/55224146,1,4000,Костанай,1985.0,35.0
https://krisha.kz/a/show/667001626,2,120000,Алматы,1977.0,44.5
https://krisha.kz/a/show/48085989,2,6000,Тараз,1985.0,45.0
https://krisha.kz/a/show/53269252,2,7000,Актау,1985.0,62.0
https://krisha.kz/a/show/665594827,1,10000,Нур-Султан (Астана),2014.0,45.0
https://krisha.kz/a/show/664892292,1,7000,Кокшетау,2020.0,45.0
https://krisha.kz/a/show/662876004,1,5000,Караганда,1969.0,32.0
https://krisha.kz/a/show/663551694,1,1000,Караганда,1970.0,32.0
https://krisha.kz/a/show/666792327,3,250000,Нур-Султан (Астана),2008.0,100.0
https://krisha.kz/a/show/664407418,1,6900,Нур-Султан (Астана),2005.0,38.0
https://krisha.kz/a/show/664349270,1,6900,Нур-Султан (Астана),2001.0,40.0
https://krisha.kz/a/show/55567589,1,1000,Нур-Султан (Астана),2000.0,18.0
https://krisha.kz/a/show/55567575,1,1000,Нур-Султан (Астана),2000.0,18.0
https://krisha.kz/a/show/665201762,1,5000,Актау,2000.0,45.0
https://krisha.kz/a/show/30961360,1,5000,Нур-Султан (Астана),1987.0,25.0
https://krisha.kz/a/show/667000472,1,7000,Алматы,1980.0,25.0
https://krisha.kz/a/show/667000428,3,40000,Тараз,1975.0,60.5
https://krisha.kz/a/show/55068715,1,7000,Актау,1985.0,61.0
https://krisha.kz/a/show/20709284,1,6000,Алматы,2014.0,20.0
https://krisha.kz/a/show/53454293,1,6000,Актау,1983.0,61.0
https://krisha.kz/a/show/662122028,1,10000,Актау,2000.0,55.0
https://krisha.kz/a/show/27185543,1,7000,Кокшетау,1970.0,36.0
https://krisha.kz/a/show/665808218,1,6000,Актау,1987.0,48.0
https://krisha.kz/a/show/56348508,1,5990,Темиртау,1980.0,36.0
https://krisha.kz/a/show/667000377,1,130000,Нур-Султан (Астана),2020.0,36.0
https://krisha.kz/a/show/28825641,1,7000,Атырау,2006.0,35.0
https://krisha.kz/a/show/23517840,1,8000,Атырау,2007.0,47.0
https://krisha.kz/a/show/663023415,2,150000,Приморский,2018.0,53.0
https://krisha.kz/a/show/46463293,1,5000,Экибастуз,1980.0,30.0
https://krisha.kz/a/show/58207551,1,4000,Петропавловск,1986.0,36.0
https://krisha.kz/a/show/667000366,2,150000,Нур-Султан (Астана),2020.0,62.0
https://krisha.kz/a/show/55100244,1,6000,Нур-Султан (Астана),2014.0,35.0
